"Sol: Wavelength (nm)","Sol: Intensity (rel)","Blå himmel: Wavelength (nm)","Blå himmel: Intensity (rel)","Grøn plante: Wavelength (nm)","Grøn plante: Intensity (rel)","Grøn plante 2: Wavelength (nm)","Grøn plante 2: Intensity (rel)","Klippe: Wavelength (nm)","Klippe: Intensity (rel)"
444,0.173693713694,444,0.0841462241462,444,0.0162633662634,444,0.0203648203648,444,0.0382765382765
445,0.167108447108,445,0.0804181004181,445,0.016068006068,445,0.0191600991601,445,0.0372427572428
446,0.172627372627,446,0.0825182225182,446,0.0161901061901,446,0.019965959966,446,0.0381462981463
447,0.187596847597,447,0.0884604284604,447,0.0178588078588,447,0.0215084915085,447,0.0414918414918
448,0.189517889518,448,0.0887453287453,448,0.0177367077367,448,0.0218788618789,448,0.0418581418581
449,0.192016872017,449,0.0887697487697,449,0.0183716283716,449,0.0223184223184,449,0.0429244829245
450,0.205386835387,450,0.093783993784,450,0.0195682095682,450,0.0232056832057,450,0.0460461760462
451,0.204992044992,451,0.0941747141747,451,0.0195356495356,451,0.0236859436859,451,0.0460583860584
452,0.196062456062,452,0.0878255078255,452,0.0185344285344,452,0.0226521626522,452,0.0446664446664
453,0.19473970474,453,0.086519036519,453,0.0183838383838,453,0.0224364524365,453,0.0439094239094
454,0.204975764976,454,0.0902023902024,454,0.019437969438,454,0.0236533836534,454,0.0461723461723
455,0.206734006734,455,0.0899256299256,455,0.0194461094461,455,0.0236208236208,455,0.0467665667666
456,0.221402301402,456,0.0944433344433,456,0.0210822510823,456,0.0249476449476,456,0.0492411292411
457,0.221968031968,457,0.0936374736375,457,0.0205205905206,457,0.0256110556111,457,0.0498068598069
458,0.213864653865,458,0.0899988899989,458,0.020194990195,458,0.0245162245162,458,0.0481096681097
459,0.220116180116,459,0.0914640914641,459,0.0204798904799,459,0.0249883449883,459,0.0494446294446
460,0.224385614386,460,0.0927583527584,460,0.0208258408258,460,0.0255622155622,460,0.0504784104784
461,0.235215895216,461,0.0962504162504,461,0.0220997520998,461,0.0269989269989,461,0.0530018130018
462,0.243184963185,462,0.0985784585785,462,0.0231416731417,462,0.0279757279757,462,0.0544588744589
463,0.242578532579,463,0.0986557886558,463,0.0230480630481,463,0.0279065379065,463,0.0552281052281
464,0.239774299774,464,0.0965922965923,464,0.0226288526289,464,0.0268931068931,464,0.0545321345321
465,0.245610685611,465,0.0975365375365,465,0.0229788729789,465,0.027935027935,465,0.0561357161357
466,0.248272468272,466,0.0977807377807,466,0.0237358937359,466,0.0283583083583,466,0.0565671365671
467,0.252810522811,467,0.0969341769342,467,0.0235853035853,467,0.0284071484071,467,0.0564857364857
468,0.260042920043,468,0.0999785399785,468,0.0245173345173,468,0.029676989677,468,0.0589521589522
469,0.273311133311,469,0.102957782958,469,0.0253801753802,469,0.0303526103526,469,0.0615651015651
470,0.261320901321,470,0.0983139083139,470,0.024208014208,470,0.0294572094572,470,0.059062049062
471,0.282859362859,471,0.104121804122,471,0.0259906759907,471,0.0316305916306,471,0.0630221630222
472,0.299407999408,472,0.109494209494,472,0.0278303178303,472,0.0335516335516,472,0.0673933473933
473,0.299456839457,473,0.108802308802,473,0.0276105376105,473,0.0334132534133,473,0.0669863469863
474,0.317499167499,474,0.113258963259,474,0.0295071595072,474,0.0352081252081,474,0.0711621711622
475,0.322761682762,475,0.113556073556,475,0.0298164798165,475,0.0355052355052,475,0.0728308728309
476,0.331772671773,476,0.116388796389,476,0.0305328005328,476,0.0370274170274,476,0.0746460946461
477,0.349220779221,477,0.120951270951,477,0.0319613719614,477,0.0391641691642,477,0.078537018537
478,0.370991230991,478,0.126946386946,478,0.0340818440818,478,0.0412520812521,478,0.0833803233803
479,0.386318866319,479,0.13156991157,479,0.0353842453842,479,0.0428231028231,479,0.0867584267584
480,0.400588300588,480,0.135648055648,480,0.0360842860843,480,0.0442231842232,480,0.0902830502831
481,0.424800754801,481,0.143307803308,481,0.0384815184815,481,0.0468564768565,481,0.0953868353868
482,0.435232175232,482,0.144520664521,482,0.0391449291449,482,0.0480245680246,482,0.0983986383986
483,0.445610685611,483,0.147035927036,483,0.0402601102601,483,0.0488711288711,483,0.100702260702
484,0.456607836608,484,0.14951048951,484,0.0410456210456,484,0.0503241203241,484,0.103555333555
485,0.45966033966,485,0.147825507826,485,0.0407322307322,485,0.0499944499944,485,0.102720982721
486,0.421622081622,486,0.13677951678,486,0.0379157879158,486,0.0466977466977,486,0.095631035631
487,0.477071817072,487,0.152864172864,487,0.0429218929219,487,0.0524852924853,487,0.108964368964
488,0.522786102786,488,0.164675324675,488,0.0466378066378,488,0.057528027528,488,0.119147519148
489,0.543225663226,489,0.170682650683,489,0.0489454989455,489,0.0601776001776,489,0.12486994487
490,0.58845968846,490,0.183071743072,490,0.0528364228364,490,0.0647197247197,490,0.136469456469
