"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
708,0.0183281533282,708,0.271363266363,708,0.00681614681615
709,0.0185438635439,709,0.268046213046,709,0.00668183668184
710,0.018433973434,710,0.267024642025,710,0.00652310652311
711,0.0183566433566,711,0.26352036852,711,0.00637862137862
712,0.0180636030636,712,0.262649387649,712,0.00650682650683
713,0.0179333629334,713,0.258302623303,713,0.00623820623821
714,0.0174083324083,714,0.25430994931,714,0.00618936618937
715,0.0170705220705,715,0.250895215895,715,0.00616901616902
716,0.0163175713176,716,0.242649387649,716,0.00579864579865
717,0.0146895696896,717,0.217928182928,717,0.00479742479742
718,0.0135743885744,718,0.202494727495,718,0.00419506419506
719,0.0129394679395,719,0.19339012839,719,0.00414622414622
720,0.0132121582122,720,0.194228549229,720,0.00404854404854
721,0.0146325896326,721,0.211395826396,721,0.00472823472823
722,0.0151576201576,722,0.222083657084,722,0.00510267510268
723,0.0140505790506,723,0.20988992489,723,0.00481777481777
724,0.0137575387575,724,0.199727124727,724,0.00445961445961
725,0.013379028379,725,0.198213083213,725,0.00417878417878
726,0.0136720686721,726,0.198933473933,726,0.00424797424797
727,0.0132976282976,727,0.197838642839,727,0.004366004366
728,0.0132569282569,728,0.195990860991,728,0.00431309431309
729,0.0132121582122,729,0.19247030747,729,0.00402005402005
730,0.0132976282976,730,0.195050690051,730,0.0043253043253
731,0.0132162282162,731,0.195168720169,731,0.00411366411366
732,0.0139976689977,732,0.200486180486,732,0.00446164946165
733,0.0140342990343,733,0.203943648944,733,0.00463869463869
734,0.0145633995634,734,0.206931031931,734,0.00471195471195
735,0.0143517593518,735,0.204839049839,735,0.0046102046102
736,0.013956968957,736,0.202083657084,736,0.00468346468346
737,0.0138023088023,737,0.200927775928,737,0.00460206460206
738,0.0139528989529,738,0.198925333925,738,0.00454915454915
739,0.0135988085988,739,0.197004292004,739,0.00441188441188
740,0.0135947385947,740,0.195937950938,740,0.00459392459392
741,0.0137656787657,741,0.194484959485,741,0.00464683464683
742,0.0134685684686,742,0.192433677434,742,0.00441891441891
743,0.0135703185703,743,0.192958707959,743,0.00463462463462
744,0.0137412587413,744,0.190996965997,744,0.00452473452473
745,0.0134563584564,745,0.188587523588,745,0.00434972434972
746,0.013260998261,746,0.187858992859,746,0.00443112443112
747,0.013085988086,747,0.185954230954,747,0.00439042439042
748,0.0132894882895,748,0.18487974988,748,0.00433751433751
749,0.0128132978133,749,0.181127206127,749,0.0041625041625
750,0.0127156177156,750,0.179185814186,750,0.0042032042032
751,0.0126016576017,751,0.176670551671,751,0.003959003959
752,0.0125772375772,752,0.174509379509,752,0.00402005402005
753,0.0125365375365,753,0.172979057979,753,0.00410959410959
754,0.0121905871906,754,0.17072020572,754,0.00394272394272
755,0.0119870869871,755,0.167814222814,755,0.00389388389388
756,0.0119952269952,756,0.166226921227,756,0.00387353387353
757,0.0117591667592,757,0.163202908203,757,0.00377585377585
758,0.0113480963481,758,0.159336404336,758,0.00365782365782
759,0.00923169423169,759,0.136955451955,759,0.00305546305546
760,0.00499074999075,760,0.077158952159,760,0.00180486180486
